
"Acrimony","신랄"
"Anointing Bone Breaker will give you","뼈 분쇄기 성유를 부으면 다음 효과를 제공"
"Anointing Born to Fight changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 타고난 싸움꾼 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Born to Fight changes nothing because this node is already anointed.","이 노드에는 이미 타고난 싸움꾼 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Born to Fight changes nothing.","타고난 싸움꾼 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Born to Fight will give you","타고난 싸움꾼 성유를 부으면 다음 효과를 제공"
"Anointing Brand Equity changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 낙인 형평성 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Brand Equity changes nothing because this node is already anointed.","이 노드에는 이미 낙인 형평성 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Brand Equity changes nothing.","낙인 형평성 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Brand Equity will give you","낙인 형평성 성유를 부으면 다음 효과를 제공"
"Anointing Bravery changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 기개 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Bravery changes nothing because this node is already anointed.","이 노드에는 이미 기개 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Bravery changes nothing.","기개 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Bravery will give you","기개 성유를 부으면 다음 효과를 제공"
"Anointing Breath of Flames changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 화염의 숨결 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Breath of Flames changes nothing because this node is already anointed.","이 노드에는 이미 화염의 숨결 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Breath of Flames changes nothing.","화염의 숨결 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Breath of Flames will give you","화염의 숨결 성유를 부으면 다음 효과를 제공"
"Anointing Breath of Lightning changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 번개의 숨결 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Breath of Lightning changes nothing because this node is already anointed.","이 노드에는 이미 번개의 숨결 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Breath of Lightning changes nothing.","번개의 숨결 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Breath of Lightning will give you","번개의 숨결 성유를 부으면 다음 효과를 제공"
"Anointing Breath of Rime changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 흰서리의 숨결 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Breath of Rime changes nothing because this node is already anointed.","이 노드에는 이미 흰서리의 숨결 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Breath of Rime changes nothing.","흰서리의 숨결 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Breath of Rime will give you","흰서리의 숨결 성유를 부으면 다음 효과를 제공"
"Anointing Brink of Death changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 생사의 경계 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Brink of Death changes nothing because this node is already anointed.","이 노드에는 이미 생사의 경계 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Brink of Death changes nothing.","생사의 경계 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Brink of Death will give you","생사의 경계 성유를 부으면 다음 효과를 제공"
"Anointing Brinkmanship changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 벼랑 끝 전략 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Brinkmanship changes nothing because this node is already anointed.","이 노드에는 이미 벼랑 끝 전략 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Brinkmanship changes nothing.","벼랑 끝 전략 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Brinkmanship will give you","벼랑 끝 전략 성유를 부으면 다음 효과를 제공"
"Anointing Brutal Blade changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 잔인한 검 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Brutal Blade changes nothing because this node is already anointed.","이 노드에는 이미 잔인한 검 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Brutal Blade changes nothing.","잔인한 검 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Brutal Blade will give you","잔인한 검 성유를 부으면 다음 효과를 제공"
"Anointing Burning Brutality changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 불타는 포악함 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Burning Brutality changes nothing because this node is already anointed.","이 노드에는 이미 불타는 포악함 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Burning Brutality changes nothing.","불타는 포악함 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Burning Brutality will give you","불타는 포악함 성유를 부으면 다음 효과를 제공"
"Anointing Butchery changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 도살 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Butchery changes nothing because this node is already anointed.","이 노드에는 이미 도살 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Butchery changes nothing.","도살 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Butchery will give you","도살 성유를 부으면 다음 효과를 제공"
"Anointing Cannibalistic Rite changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 식인 의식 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Cannibalistic Rite changes nothing because this node is already anointed.","이 노드에는 이미 식인 의식 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Cannibalistic Rite changes nothing.","식인 의식 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Cannibalistic Rite will give you","식인 의식 성유를 부으면 다음 효과를 제공"
"Anointing Careful Conservationist changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 철저한 보호론자 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Careful Conservationist changes nothing because this node is already anointed.","이 노드에는 이미 철저한 보호론자 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Careful Conservationist changes nothing.","철저한 보호론자 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Careful Conservationist will give you","철저한 보호론자 성유를 부으면 다음 효과를 제공"
"Anointing Cauterisation changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 소작 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Cauterisation changes nothing because this node is already anointed.","이 노드에는 이미 소작 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Cauterisation changes nothing.","소작 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Cauterisation will give you","소작 성유를 부으면 다음 효과를 제공"
"Anointing Champion of the Cause changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 대의의 용사 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Champion of the Cause changes nothing because this node is already anointed.","이 노드에는 이미 대의의 용사 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Champion of the Cause changes nothing.","대의의 용사 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Champion of the Cause will give you","대의의 용사 성유를 부으면 다음 효과를 제공"
"Anointing Charisma changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 신비한 매력 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Charisma changes nothing because this node is already anointed.","이 노드에는 이미 신비한 매력 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Charisma changes nothing.","신비한 매력 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Charisma will give you","신비한 매력 성유를 부으면 다음 효과를 제공"
"Anointing Circle of Life changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 생명의 순환 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Circle of Life changes nothing because this node is already anointed.","이 노드에는 이미 생명의 순환 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Circle of Life changes nothing.","생명의 순환 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Circle of Life will give you","생명의 순환 성유를 부으면 다음 효과를 제공"
"Anointing Claws of the Falcon changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 매의 발톱 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Claws of the Falcon changes nothing because this node is already anointed.","이 노드에는 이미 매의 발톱 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Claws of the Falcon changes nothing.","매의 발톱 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Claws of the Falcon will give you","매의 발톱 성유를 부으면 다음 효과를 제공"
"Anointing Claws of the Hawk changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 사냥매의 발톱 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Claws of the Hawk changes nothing because this node is already anointed.","이 노드에는 이미 사냥매의 발톱 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Claws of the Hawk changes nothing.","사냥매의 발톱 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Claws of the Hawk will give you","사냥매의 발톱 성유를 부으면 다음 효과를 제공"
"Anointing Claws of the Magpie changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 까치의 발톱 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Claws of the Magpie changes nothing because this node is already anointed.","이 노드에는 이미 까치의 발톱 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Claws of the Magpie changes nothing.","까치의 발톱 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Claws of the Magpie will give you","까치의 발톱 성유를 부으면 다음 효과를 제공"
"Anointing Cleansed Thoughts changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 정화된 생각 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Cleansed Thoughts changes nothing because this node is already anointed.","이 노드에는 이미 정화된 생각 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Cleansed Thoughts changes nothing.","정화된 생각 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Cleansed Thoughts will give you","정화된 생각 성유를 부으면 다음 효과를 제공"
"Anointing Cleaving changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 쪼개기 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Cleaving changes nothing because this node is already anointed.","이 노드에는 이미 쪼개기 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Cleaving changes nothing.","쪼개기 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Cleaving will give you","쪼개기 성유를 부으면 다음 효과를 제공"
"Anointing Clever Construction changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 교묘한 구조물 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Clever Construction changes nothing because this node is already anointed.","이 노드에는 이미 교묘한 구조물 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Clever Construction changes nothing.","교묘한 구조물 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Clever Construction will give you","교묘한 구조물 성유를 부으면 다음 효과를 제공"
"Anointing Clever Thief changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 교묘한 도둑 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Clever Thief changes nothing because this node is already anointed.","이 노드에는 이미 교묘한 도둑 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Clever Thief changes nothing.","교묘한 도둑 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Clever Thief will give you","교묘한 도둑 성유를 부으면 다음 효과를 제공"
"Anointing Cloth and Chain changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 천과 사슬 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Cloth and Chain changes nothing because this node is already anointed.","이 노드에는 이미 천과 사슬 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Cloth and Chain changes nothing.","천과 사슬 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Cloth and Chain will give you","천과 사슬 성유를 부으면 다음 효과를 제공"
"Anointing Coldhearted Calculation changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 냉담한 계산 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Coldhearted Calculation changes nothing because this node is already anointed.","이 노드에는 이미 냉담한 계산 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Coldhearted Calculation changes nothing.","냉담한 계산 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Coldhearted Calculation will give you","냉담한 계산 성유를 부으면 다음 효과를 제공"
"Anointing Combat Stamina changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 전투 지구력 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Combat Stamina changes nothing because this node is already anointed.","이 노드에는 이미 전투 지구력 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Combat Stamina changes nothing.","전투 지구력 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Combat Stamina will give you","전투 지구력 성유를 부으면 다음 효과를 제공"
"Anointing Command of Steel changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 강철의 명령 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Command of Steel changes nothing because this node is already anointed.","이 노드에는 이미 강철의 명령 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Command of Steel changes nothing.","강철의 명령 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Command of Steel will give you","강철의 명령 성유를 부으면 다음 효과를 제공"
"Anointing Concussive Force changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 충격적인 힘 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Concussive Force changes nothing because this node is already anointed.","이 노드에는 이미 충격적인 힘 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Concussive Force changes nothing.","충격적인 힘 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Concussive Force will give you","충격적인 힘 성유를 부으면 다음 효과를 제공"
"Anointing Conjured Barrier changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 상상의 장벽 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Conjured Barrier changes nothing because this node is already anointed.","이 노드에는 이미 상상의 장벽 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Conjured Barrier changes nothing.","상상의 장벽 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Conjured Barrier will give you","상상의 장벽 성유를 부으면 다음 효과를 제공"
"Anointing Constitution changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 체질 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Constitution changes nothing because this node is already anointed.","이 노드에는 이미 체질 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Constitution changes nothing.","체질 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Constitution will give you","체질 성유를 부으면 다음 효과를 제공"
"Anointing Coordination changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 조율 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Coordination changes nothing because this node is already anointed.","이 노드에는 이미 조율 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Coordination changes nothing.","조율 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Coordination will give you","조율 성유를 부으면 다음 효과를 제공"
"Anointing Corruption changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 타락 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Corruption changes nothing because this node is already anointed.","이 노드에는 이미 타락 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Corruption changes nothing.","타락 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Corruption will give you","타락 성유를 부으면 다음 효과를 제공"
"Anointing Counterweight changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 평형추 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Counterweight changes nothing because this node is already anointed.","이 노드에는 이미 평형추 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Counterweight changes nothing.","평형추 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Counterweight will give you","평형추 성유를 부으면 다음 효과를 제공"
"Anointing Courage changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 용기 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Courage changes nothing because this node is already anointed.","이 노드에는 이미 용기 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Courage changes nothing.","용기 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Courage will give you","용기 성유를 부으면 다음 효과를 제공"
"Anointing Crackling Speed changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 치직대는 속도 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Crackling Speed changes nothing because this node is already anointed.","이 노드에는 이미 치직대는 속도 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Crackling Speed changes nothing.","치직대는 속도 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Crackling Speed will give you","치직대는 속도 성유를 부으면 다음 효과를 제공"
"Anointing Cruel Preparation changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 잔혹한 준비 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Cruel Preparation changes nothing because this node is already anointed.","이 노드에는 이미 잔혹한 준비 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Cruel Preparation changes nothing.","잔혹한 준비 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Cruel Preparation will give you","잔혹한 준비 성유를 부으면 다음 효과를 제공"
"Anointing Crusader changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 십자군 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Crusader changes nothing because this node is already anointed.","이 노드에는 이미 십자군 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Crusader changes nothing.","십자군 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Crusader will give you","십자군 성유를 부으면 다음 효과를 제공"
"Anointing Crystal Skin changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 결정 가죽 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Crystal Skin changes nothing because this node is already anointed.","이 노드에는 이미 결정 가죽 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Crystal Skin changes nothing.","결정 가죽 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Crystal Skin will give you","결정 가죽 성유를 부으면 다음 효과를 제공"
"Anointing Dance of Blades changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 칼춤 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Dance of Blades changes nothing because this node is already anointed.","이 노드에는 이미 칼춤 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Dance of Blades changes nothing.","칼춤 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Dance of Blades will give you","칼춤 성유를 부으면 다음 효과를 제공"
"Anointing Dark Arts changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 어둠의 기술 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Dark Arts changes nothing because this node is already anointed.","이 노드에는 이미 어둠의 기술 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Dark Arts changes nothing.","어둠의 기술 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Dark Arts will give you","어둠의 기술 성유를 부으면 다음 효과를 제공"
"Anointing Dazzling Strikes changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 현란한 일격 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Dazzling Strikes changes nothing because this node is already anointed.","이 노드에는 이미 현란한 일격 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Dazzling Strikes changes nothing.","현란한 일격 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Dazzling Strikes will give you","현란한 일격 성유를 부으면 다음 효과를 제공"
"Anointing Deadly Draw changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 치명적인 당기기 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Deadly Draw changes nothing because this node is already anointed.","이 노드에는 이미 치명적인 당기기 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Deadly Draw changes nothing.","치명적인 당기기 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Deadly Draw will give you","치명적인 당기기 성유를 부으면 다음 효과를 제공"
"Anointing Deadly Inclinations changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 치명적인 의지 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Deadly Inclinations changes nothing because this node is already anointed.","이 노드에는 이미 치명적인 의지 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Deadly Inclinations changes nothing.","치명적인 의지 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Deadly Inclinations will give you","치명적인 의지 성유를 부으면 다음 효과를 제공"
"Anointing Death Attunement changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 죽음의 조율 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Death Attunement changes nothing because this node is already anointed.","이 노드에는 이미 죽음의 조율 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Death Attunement changes nothing.","죽음의 조율 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Death Attunement will give you","죽음의 조율 성유를 부으면 다음 효과를 제공"
"Anointing Decay Ward changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 부패 수호 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Decay Ward changes nothing because this node is already anointed.","이 노드에는 이미 부패 수호 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Decay Ward changes nothing.","부패 수호 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Decay Ward will give you","부패 수호 성유를 부으면 다음 효과를 제공"
"Anointing Deep Breaths changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 심호흡 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Deep Breaths changes nothing because this node is already anointed.","이 노드에는 이미 심호흡 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Deep Breaths changes nothing.","심호흡 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Deep Breaths will give you","심호흡 성유를 부으면 다음 효과를 제공"
"Anointing Deep Thoughts changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 깊은 생각 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Deep Thoughts changes nothing because this node is already anointed.","이 노드에는 이미 깊은 생각 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Deep Thoughts changes nothing.","깊은 생각 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Deep Thoughts will give you","깊은 생각 성유를 부으면 다음 효과를 제공"
"Anointing Deep Wisdom changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 깊은 지혜 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Deep Wisdom changes nothing because this node is already anointed.","이 노드에는 이미 깊은 지혜 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Deep Wisdom changes nothing.","깊은 지혜 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Deep Wisdom will give you","깊은 지혜 성유를 부으면 다음 효과를 제공"
"Anointing Defiance changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 저항 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Defiance changes nothing because this node is already anointed.","이 노드에는 이미 저항 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Defiance changes nothing.","저항 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Defiance will give you","저항 성유를 부으면 다음 효과를 제공"
"Anointing Defiled Forces changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 더럽혀진 힘 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Defiled Forces changes nothing because this node is already anointed.","이 노드에는 이미 더럽혀진 힘 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Defiled Forces changes nothing.","더럽혀진 힘 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Defiled Forces will give you","더럽혀진 힘 성유를 부으면 다음 효과를 제공"
"Anointing Deflection changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 굴절 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Deflection changes nothing because this node is already anointed.","이 노드에는 이미 굴절 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Deflection changes nothing.","굴절 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Deflection will give you","굴절 성유를 부으면 다음 효과를 제공"
"Anointing Depth Perception changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 날카로운 감각 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Depth Perception changes nothing because this node is already anointed.","이 노드에는 이미 날카로운 감각 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Depth Perception changes nothing.","날카로운 감각 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Depth Perception will give you","날카로운 감각 성유를 부으면 다음 효과를 제공"
"Anointing Dervish changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 수도승 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Dervish changes nothing because this node is already anointed.","이 노드에는 이미 수도승 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Dervish changes nothing.","수도승 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Dervish will give you","수도승 성유를 부으면 다음 효과를 제공"
"Anointing Destroyer changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 파괴자 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Destroyer changes nothing because this node is already anointed.","이 노드에는 이미 파괴자 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Destroyer changes nothing.","파괴자 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Destroyer will give you","파괴자 성유를 부으면 다음 효과를 제공"
"Anointing Destructive Apparatus changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 파괴적인 기구 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Destructive Apparatus changes nothing because this node is already anointed.","이 노드에는 이미 파괴적인 기구 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Destructive Apparatus changes nothing.","파괴적인 기구 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Destructive Apparatus will give you","파괴적인 기구 성유를 부으면 다음 효과를 제공"
"Anointing Devastating Devices changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 파괴적인 장치 성유를 부어도 아무것도 변경되지 않습니다."
